stname,weighted_GDP
ANDAMAN & NICOBAR,1.278018083
ANDHRA PRADESH,109.24930580214884
ARUNACHAL PRADESH,3.710278177714491
ASSAM,48.66500545489212
BIHAR,190.37625388584314
CHANDIGARH,0.3709920903249764
CHHATTISGARH,52.204101509462774
"DADRA,NAGAR HAVELI,DAMAN & DIU",1.7211924386696271
DELHI,4.685170952079833
GOA,4.71282743601197
GUJARAT,145.06959947955175
HARYANA,71.57150696812116
HIMACHAL PRADESH,11.87254511951905
JAMMU & KASHMIR,33.53131360687483
JHARKHAND,70.96019172804245
KARNATAKA,137.0494559450401
KERALA,49.25741367977301
LADAKH,1.374651202129394
LAKSHADWEEP,0.010065773
MADHYA PRADESH,158.40317009129015
MAHARASHTRA,216.87741876729197
MANIPUR,5.6440740775820455
MEGHALAYA,12.189344930920667
MIZORAM,2.3060537192828443
NAGALAND,3.060649037602552
ODISHA,89.61731926968818
PUDUCHERRY,2.4745034794027907
PUNJAB,74.88669714871749
RAJASTHAN,179.0688237526037
SIKKIM,1.4457091923359893
TAMIL NADU,147.010260758972
TELANGANA,81.22636903902949
TRIPURA,17.72888414420943
UTTAR PRADESH,374.5201954312005
UTTARAKHAND,26.949329812864857
WEST BENGAL,144.32986158380584
